Чизай Кагор Закарпатский,крепленое,Закарпатская область,Чизай
Maison Bouey Lettres de France Rouge Sec,тихое,Значение отсутствует,Maison Bouey
Maison Bouey Lettres de France Blanc Sec,тихое,Бордо,Maison Bouey
Maison Bouey Lettres de France Blanc Moelleux,тихое,Бордо,Maison Bouey
Maison Bouey Lettres de France Rouge Moelleux,тихое,Бордо,Maison Bouey
Covinca Vina Oria Garnacha,тихое,Арагон,Covinca
Covinca Marques de Somaya Garnacha,тихое,Лонгарес,Covinca
Felix Solis Soliera Rosado Tempranillo,тихое,Кастилия-Ла Манча,Felix Solis Avantis
Castelnuovo Vino Rosso,тихое,Венето,Castelnuovo
Castelnuovo Vino Bianco,тихое,Венето,Castelnuovo
Schenk Boccantino Catarratto Pinot Grigio,тихое,Сицилия,Schenk Italia
Aves del Sur Sauvignon Blanc,тихое,Мауле,Vina Carta Vieja
Aves del Sur Merlot Rose,тихое,Мауле,Vina Carta Vieja
Aves del Sur Merlot,тихое,Мауле,Vina Carta Vieja
Cantina Castelnuovo del Garda Chardonnay,тихое,Венето,Castelnuovo
Cavicchioli Lambrusco Rosato dell'Emilia IGT Dolce,игристое,Емилия-Романия,Cavicchioli
Cavicchioli Lambrusco Bianco dell'Emilia IGT Dolce,игристое,Емилия-Романия,Cavicchioli
«Lettres de France» Cabernet Sauvignon Pays d'Oc Rouge,тихое,Лангедок-Руссильон,Maison Bouey
Filipetti Vermouth Bianco Torino,вермут,Пьемонт,Valsa Nuovo Perlino
Cantina Castelnuovo del Garda Soave Castelnuovo,тихое,Венето,Castelnuovo
Cantina Castelnuovo del Garda Bardolino Chiaretto Castelnuovo,тихое,Венето,Castelnuovo
Cantina Castelnuovo del Garda Bardolino Castelnuovo,тихое,Венето,Castelnuovo
«Manon» Tempranillo,тихое,Кастилия и Леон,Avanteselecta
Cantina Castelnuovo del Garda Pinot Grigio Castelnuovo,тихое,Венето,Castelnuovo
G7 Sauvignon Blanc,тихое,Мауле,Vina Carta Vieja
«Lavinia» Macabeo - Garnacha,тихое,Каталония,Masia Vallformosa
Vallformosa Lavina Tempranillo - Merlot,тихое,Каталония,Masia Vallformosa
Колонист Мерло Выдержанное,тихое,Одесская область,Kolonist
Covinca Vina Oria Crianza,тихое,Арагон,Covinca
Santa Ana Malbec Classic,тихое,Мендоза,Santa Ana
